Делай что должен — и будь что будет. | Марк Аврелий
Препятствие на пути становится путём. | Марк Аврелий
Счастье вашей жизни зависит от качества ваших мыслей. | Марк Аврелий
Не расходуй остаток жизни на мысли о других. | Марк Аврелий
Совершенство характера — жить каждый день как последний. | Марк Аврелий
Первое правило — не волноваться. Второе — не бояться. | Марк Аврелий
Познай самого себя. | Сократ
Неисследованная жизнь не стоит того, чтобы жить. | Сократ
Мы страдаем не от событий, а от наших суждений о них. | Эпиктет
Не ищи того, чтобы происходило как ты хочешь, но желай, чтобы происходящее происходило так, как оно происходит. | Эпиктет
Богатство состоит не в обладании сокровищами, а в их использовании. | Наполеон Бонапарт
Не существует трудностей, которые нельзя преодолеть. | Сенека
Пока мы откладываем жизнь, она проходит. | Сенека
Удача — это когда подготовка встречает возможность. | Сенека
Мы больше воображаем, чем переживаем. | Сенека
Трудно найти чёрную кошку в тёмной комнате. Особенно когда её там нет. | Конфуций
Путь в тысячу ли начинается с первого шага. | Лао-цзы
Лучшее время посадить дерево было двадцать лет назад. Второе лучшее время — сейчас. | Китайская пословица
Дисциплина — мост между целями и достижениями. | Джим Рон
Единственный способ делать великие дела — любить то, что делаешь. | Стив Джобс
Сильнее всех — владеющий собой. | Сенека
Истинная свобода — жить так, как выбрал сам. | Эпиктет
Человек — мера всех вещей. | Протагор
Где есть воля, там есть путь. | Латинская пословица
Через тернии к звёздам. | Латинская пословица
